model_name,model,accuracy,precision,recall,f1,roc_auc,auprc,parameters,training_testing_time_seconds
LogReg_base,LogisticRegression(),0.9846517751545311,0.25133214920071045,0.04479265590376701,0.07603439011284256,0.9053278888520525,0.1640902973272378,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",1.9378349781036377
RF_base,RandomForestClassifier(random_state=40),0.9877290072077299,0.8310428455941795,0.16270971826527383,0.27213765718067506,0.9739974507540927,0.46950996018061825,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 40, 'verbose': 0, 'warm_start': False}",73.01012802124023
GB_base,GradientBoostingClassifier(random_state=44),0.9867471492647223,0.7342398022249691,0.09401709401709402,0.16669005191525185,0.9700525235184523,0.36084448295628735,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 44, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",268.3391160964966
KNN_base,KNeighborsClassifier(n_neighbors=6),0.9864548233771451,0.7073578595317725,0.06695156695156695,0.12232504337767496,0.7518427395105082,0.18649944951927805,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}",404.51837491989136
LogReg_pca_base,LogisticRegression(),0.9846673956218062,0.24183006535947713,0.040993985438429886,0.07010420895926377,0.8999580716727628,0.15882958916610446,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",1.6634738445281982
RF_pca_base,RandomForestClassifier(random_state=44),0.9862339053399684,0.752542372881356,0.03513770180436847,0.06714048087101164,0.9405293701316545,0.27612671914657827,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 44, 'verbose': 0, 'warm_start': False}",701.5425601005554
LinearRegression_red_features,LogisticRegression(random_state=44),0.9845402003882802,0.195,0.030864197530864196,0.053293249521727246,0.9165345841281155,0.1396060999498021,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 44, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.63694167137146
RandomForest_red_features,RandomForestClassifier(random_state=44),0.9863030816950439,0.6113861386138614,0.07818930041152264,0.13864720740948638,0.9636816263010712,0.29546076776860075,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 44, 'verbose': 0, 'warm_start': False}",44.700374126434326
GradientBoosting_red_features,GradientBoostingClassifier(random_state=44),0.9861067101064424,0.6642857142857143,0.029439696106362774,0.05638072143073659,0.9632883612729365,0.26366912947506027,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 44, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",134.4578082561493
GradientBoosting_vif_features,GradientBoostingClassifier(random_state=44),0.9867226028161471,0.7277227722772277,0.09306742640075974,0.1650294695481336,0.9692712292458087,0.3533827856019026,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 44, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",187.90752482414246
